model,config,duration,completed,request_rate,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,input_len,output_len
awq,balanced_peak,27.57639168300375,150,inf,76800,76800,5.439435359211626,2784.9909039163526,5569.981807832705,3864.2593691134243,3851.1630184948444,7518.323880405951,42.997402634990095,43.59695545499135,42.997402797703856,34.305221000977326,227.33801309092087,512,512
awq,decode_peak,26.80584721500054,100,inf,25600,102400,3.730529357939489,3820.0620625300367,4775.077578162546,700.0197566492716,788.9891149970936,793.7933496962069,25.4986333371753,25.424239604099405,25.498633405983103,25.480675001745112,32.68163799250033,256,1024
awq,prefill_peak,28.808266442996683,200,inf,204800,25600,6.94245175757947,888.6338249701722,7997.70442473155,12310.692573625274,10728.419045997725,25820.534751588126,96.75787867873659,118.72367030709724,96.75787943641471,33.85758899821667,238.05905103567056,1024,128
awq,rps16,17.355343235001783,160,16.0,163840,20480,9.219062846150825,1180.0400443073056,10620.36039876575,1825.0444466812041,1124.3882950002444,5405.727094691974,65.64176213282413,76.16680820868305,65.64176283695923,33.829476502432954,238.19081189649296,1024,128
awq,rps4,21.143634719002875,80,4.0,81920,10240,3.7836446317387367,484.3065128625583,4358.758615763025,121.53422612627764,94.05836799851386,267.2326532895385,9.963820500291428,9.453949173208873,9.963821578244602,7.213129996671341,79.62774502288084,1024,128
awq,rps8,16.256026282993844,120,8.0,122880,15360,7.381877828626383,944.880362064177,8503.923258577594,73.78999303400633,26.501674503379036,250.41613166147724,14.938625985755523,8.412195161348446,14.938626840417005,8.215795503929257,113.51967293667258,1024,128
fp16,balanced_peak,48.017011313000694,150,inf,76800,76800,3.1238928850073435,1599.4331571237599,3198.8663142475198,11126.769820385865,3948.3272370052873,37051.91742316849,39.39504589243385,34.18314196477501,39.39504606820656,26.22225200320827,206.38112083499436,512,512
fp16,decode_peak,51.92918641099823,100,inf,25600,102400,1.9256993400308833,1971.9161241916245,2464.8951552395306,1322.0239435300755,1306.4789425043273,2402.8265966803883,36.957198846451526,37.595388593350116,36.95719892558208,25.90690050419653,195.75350712184175,256,1024
fp16,prefill_peak,35.53066649798711,200,inf,204800,25600,5.628940284903758,720.5043564676811,6484.539208209129,15536.371749194659,16620.414557502954,32907.413417572534,54.230974705829205,56.73278155515482,54.23097554094357,25.75766349764308,209.74875500192866,1024,128
fp16,rps16,28.822066028005793,160,16.0,163840,20480,5.551302250315136,710.5666880403375,6395.100192363037,7397.700740631717,6856.973266498244,16091.355440195039,53.848070554923595,57.52134616931306,53.84807138208898,25.795899506192654,211.7906632134691,1024,128
fp16,rps4,22.77899614200578,80,4.0,81920,10240,3.5120072676282423,449.536930256415,4045.8323723077356,217.25137632383849,154.26990899868542,456.3770481695241,30.580963556697206,30.48071625592521,30.580964804323415,20.492100993578788,197.57513643067796,1024,128
fp16,rps8,22.74523525100085,120,8.0,122880,15360,5.275830242060024,675.306270983683,6077.756438853147,2090.4008781081457,2006.4429604972247,5329.451463385776,52.06589132060387,57.554980409439324,52.06589227256838,25.728884495038074,209.38266750992625,1024,128
